,syllable,position,frequency_pos,frequency,pval_uniform
13828,s_k_ɪ_p,2,0,5,0.4896358490926503
13829,s_k_ɪ_p_s,1,1,1,0.0
13830,s_k_ɪ_p_t,1,5,5,0.4896358490926503
13831,s_k_ɪ_t,1,6,35,0.5424568268591953
13832,s_k_ɪ_t,2,28,35,0.5424568268591953
13833,s_k_ɪ_t,3,1,35,0.5424568268591953
13834,s_k_ɪ_t,4,0,35,0.5424568268591953
13835,s_k_ɪ_t,5,0,35,0.5424568268591953
13836,s_k_ɪ_t_s,1,0,17,0.9016509460184804
13837,s_k_ɪ_t_s,2,17,17,0.9016509460184804
13838,s_k_ɪ_t_s,3,0,17,0.9016509460184804
13839,s_k_ɪ_t_s,4,0,17,0.9016509460184804
13840,s_k_ɪ_t_s,5,0,17,0.9016509460184804
13841,s_k_ɪ_z,2,2,2,0.0338673693563189
13842,s_k_ɪ_z,3,0,2,0.0338673693563189
13843,s_k_ɒ,1,55,61,0.2661349764507824
13844,s_k_ɒ,3,5,61,0.2661349764507824
13845,s_k_ɒ,4,1,61,0.2661349764507824
13846,s_k_ɒ_ɲ,1,12,12,0.9250992250719609
13847,s_k_ɒ_ɲ,2,0,12,0.9250992250719609
13848,s_k_ɒ_ɲ,3,0,12,0.9250992250719609
13849,s_k_ɒ_n_z,1,1,1,0.0
13850,s_k_ɒ_t,1,4,4,0.3786429146367648
13851,s_k_ɒ_t,3,0,4,0.3786429146367648
13852,s_k_ɒ_t_s,1,10,10,0.8344113943730964
13853,s_k_ʌ,1,10,315,0.0
13854,s_k_ʌ,2,305,315,0.0
13855,s_k_ʌ_l,1,19,19,0.846326651164806
13856,s_k_ʌ_l,2,0,19,0.846326651164806
13857,s_k_ʌ_l_p,1,32,32,0.5870304495218972
13858,s_k_ʌ_l_z,1,5,5,0.4896358490926503
13859,s_k_ʌ_l_z,2,0,5,0.4896358490926503
13860,s_k_ʌ_m,1,3,3,0.2355481345110688
13861,s_k_ʌ_s,2,52,52,0.3455359637637201
13862,s_k_ʌ_s_t,2,55,55,0.3176367282312594
13863,s_k_iː,1,15,21,0.7965445414407768
13864,s_k_iː,2,6,21,0.7965445414407768
13865,s_k_iː,3,0,21,0.7965445414407768
13866,s_k_iː_m,1,65,65,0.2345430293078347
13867,s_k_iː_m,3,0,65,0.2345430293078347
13868,s_k_iː_m_z,1,30,30,0.6191322951917076
13869,s_k_iː_m_z,3,0,30,0.6191322951917076
13870,s_k_iː_z,1,3,3,0.2355481345110688
13871,s_k_j_ʊə,2,7,7,0.6569991481240273
13872,s_k_j_ʊə_ɜ˞,2,19,19,0.846326651164806
13873,s_k_j_ʊə_d,2,5,5,0.4896358490926503
13874,s_k_j_ʊə_s,3,2,2,0.0338673693563189
13875,s_k_j_ʊə_z,2,2,2,0.0338673693563189
13876,s_k_j_uː,1,1,35,0.5424568268591953
13877,s_k_j_uː,2,32,35,0.5424568268591953
13878,s_k_j_uː,3,2,35,0.5424568268591953
13879,s_k_j_uː,4,0,35,0.5424568268591953
13880,s_k_j_uː_d,2,10,10,0.8344113943730964
13881,s_k_j_uː_l,2,0,2,0.0338673693563189
13882,s_k_j_uː_l,3,2,2,0.0338673693563189
13883,s_k_j_uː_s,2,21,21,0.7965445414407768
13884,s_k_j_uː_z,2,13,13,0.9649129456753878
13885,s_k_j_uː_z,4,0,13,0.9649129456753878
13886,s_k_j_uː_z_d,2,5,5,0.4896358490926503
13887,s_k_l_eɪ,2,1,1,0.0
13888,s_k_l_eɪ_m_d,2,10,10,0.8344113943730964
13889,s_k_l_eɪ_m_z,2,1,1,0.0
13890,s_k_l_ɪə,1,0,1,0.0
13891,s_k_l_ɪə,5,1,1,0.0
13892,s_k_l_ə,1,0,3,0.2355481345110688
13893,s_k_l_ə,2,3,3,0.2355481345110688
13894,s_k_l_ə,4,0,3,0.2355481345110688
13895,s_k_l_uː,2,57,57,0.2998703407296098
13896,s_k_l_uː_d,2,8,8,0.7234184599172108
13897,s_k_l_uː_d_z,2,3,3,0.2355481345110688
13898,s_k_ɻ_ɔː,1,2,2,0.0338673693563189
13899,s_k_ɻ_ɔː_l,1,1,1,0.0
13900,s_k_ɻ_eɪ,1,5,8,0.7234184599172108
13901,s_k_ɻ_eɪ,2,3,8,0.7234184599172108
13902,s_k_ɻ_eɪ_p,1,5,5,0.4896358490926503
13903,s_k_ɻ_eɪ_p_t,1,5,5,0.4896358490926503
13904,s_k_ɻ_aɪ,1,0,23,0.7512946359146896
13905,s_k_ɻ_aɪ,2,20,23,0.7512946359146896
13906,s_k_ɻ_aɪ,3,3,23,0.7512946359146896
13907,s_k_ɻ_aɪ_b,1,1,45,0.4174515300369579
13908,s_k_ɻ_aɪ_b,2,44,45,0.4174515300369579
13909,s_k_ɻ_aɪ_b,3,0,45,0.4174515300369579
13910,s_k_ɻ_aɪ_b_d,1,0,109,0.0
13911,s_k_ɻ_aɪ_b_d,2,109,109,0.0
13912,s_k_ɻ_aɪ_b_d,3,0,109,0.0
13913,s_k_ɻ_aɪ_b_d,4,0,109,0.0
13914,s_k_ɻ_aɪ_b_z,1,1,18,0.8732200097732894
13915,s_k_ɻ_aɪ_b_z,2,17,18,0.8732200097732894
13916,s_k_ɻ_aɪ_b_z,3,0,18,0.8732200097732894
13917,s_k_ɻ_əʊ,1,1,1,0.0
13918,s_k_ɻ_əʊ_l,1,3,3,0.2355481345110688
13919,s_k_ɻ_əʊ_l_z,1,2,2,0.0338673693563189
13920,s_k_ɻ_ɛ,2,15,17,0.9016509460184804
